sample_id,similar_id,dissimilar_id
147269.0,147265.0,354962.0
213840.0,213813.0,61236.0
61752.0,65922.0,281122.0
176615.0,176631.0,173990.0
110035468.0,110036813.0,319627.0
134819.0,134803.0,288790.0
66021.0,66021.0,160939.0
319356.0,309827.0,110034700.0
37831.0,37818.0,192798.0
27070.0,27076.0,364608.0
352510.0,352510.0,106438.0
110051746.0,110051301.0,262833.0
172366.0,173231.0,314516.0
363701.0,363729.0,260154.0
57076.0,279939.0,173667.0
141546.0,141583.0,9686.0
129502.0,162154.0,142238.0
172626.0,174202.0,251538.0
110000539.0,110003806.0,159575.0
205718.0,205720.0,269253.0
169596.0,169629.0,277785.0
180912.0,180623.0,17102.0
61387.0,70941.0,110041476.0
299474.0,299504.0,94859.0
221890.0,221891.0,152965.0
207073.0,207076.0,70763.0
356441.0,356438.0,289346.0
110037590.0,110036890.0,70360.0
260813.0,261440.0,3494.0
277638.0,276820.0,153816.0
180869.0,180849.0,165220.0
263376.0,263978.0,214943.0
217495.0,217486.0,202622.0
56681.0,58773.0,21433.0
57407.0,275897.0,244249.0
110038898.0,110038898.0,59847.0
36830.0,36831.0,151980.0
124032.0,123966.0,224444.0
299817.0,299816.0,126644.0
215900.0,216156.0,296514.0
293446.0,293460.0,241428.0
269712.0,269714.0,171255.0
42482.0,42428.0,167872.0
247476.0,247730.0,276042.0
207790.0,207766.0,64058.0
109164.0,109157.0,224424.0
262199.0,264481.0,285099.0
350852.0,285814.0,110043296.0
236710.0,236682.0,257511.0
124830.0,124922.0,199229.0
128226.0,128223.0,225417.0
110048310.0,110048544.0,142022.0
117894.0,117894.0,278888.0
258096.0,258097.0,16108.0
110041013.0,110041003.0,62683.0
110053187.0,110053168.0,167532.0
170202.0,169128.0,366246.0
233159.0,231687.0,206353.0
110048628.0,110048628.0,243867.0
110040476.0,110037763.0,110031.0
284204.0,284670.0,175269.0
110041228.0,110041212.0,274574.0
328542.0,328740.0,175412.0
233645.0,233644.0,297493.0
236680.0,236690.0,257511.0
110051551.0,110051458.0,290363.0
194415.0,197022.0,261724.0
41226.0,41260.0,58182.0
212777.0,217101.0,249449.0
168638.0,168656.0,178549.0
45141.0,50837.0,300849.0
171901.0,182862.0,259717.0
290969.0,290963.0,179431.0
328657.0,328657.0,134526.0
130126.0,130127.0,259287.0
301313.0,301320.0,47363.0
317129.0,317134.0,259536.0
192498.0,270075.0,227609.0
129088.0,129066.0,296119.0
110035798.0,110035761.0,283917.0
221036.0,221084.0,225582.0
297910.0,297889.0,258493.0
136426.0,136386.0,298930.0
71754.0,71752.0,268720.0
131235.0,131221.0,269159.0
249917.0,249928.0,233896.0
238262.0,238084.0,292054.0
277291.0,277291.0,281392.0
112897.0,112881.0,46367.0
137947.0,137949.0,247318.0
9351.0,3070.0,247231.0
147455.0,147701.0,46472.0
169071.0,169849.0,146668.0
11555.0,11548.0,173810.0
283551.0,283275.0,173804.0
44307.0,43914.0,62516.0
110050429.0,110050318.0,321893.0
258977.0,270888.0,299125.0
287847.0,287831.0,27910.0
158432.0,151026.0,192729.0
